Age,AnnualIncome,TotalSpend,YearsAsCustomer,NumOfPurchases,AvgTransactionAmount,NumOfReturns,NumOfSupportQueries,SatisfactionScore,LastPurchaseDaysAgo,EmailOptIn,Churn,Gender_Female,Gender_Male,Gender_Other,PromotionResponse_Ignored,PromotionResponse_Responded,PromotionResponse_Unsubscribed
38,100.01,2412.82,4,90,11.33,9,2,1,278,True,False,0.0,1.0,0.0,0.0,1.0,0.0
68,172.52,8849.87,16,88,322.94,3,3,1,310,False,True,1.0,0.0,0.0,0.0,1.0,0.0
69,101.33,3958.89,7,59,336.76,4,1,5,121,True,True,0.0,1.0,0.0,0.0,0.0,1.0
56,21.31,2511.44,13,28,156.42,1,3,1,305,True,True,0.0,1.0,0.0,0.0,1.0,0.0
20,153.19,3485.15,4,45,394.05,8,2,4,292,True,True,0.0,0.0,1.0,1.0,0.0,0.0
38,92.08,6600.39,1,84,323.8,6,2,4,100,False,True,0.0,0.0,1.0,0.0,0.0,1.0
25,143.05,6211.52,2,73,226.42,4,0,4,111,True,True,0.0,1.0,0.0,0.0,0.0,1.0
36,145.16,3801.02,5,28,86.28,5,1,4,122,True,True,1.0,0.0,0.0,1.0,0.0,0.0
48,97.73,7734.35,16,9,267.67,7,2,1,143,True,False,0.0,0.0,1.0,1.0,0.0,0.0
47,198.27,6130.7,1,18,403.85,0,0,5,38,True,False,0.0,0.0,1.0,0.0,1.0,0.0
66,117.0,1004.2,7,79,55.98,6,2,4,211,True,False,0.0,0.0,1.0,0.0,1.0,0.0
43,152.87,7662.23,18,19,348.79,2,0,1,203,True,True,0.0,1.0,0.0,0.0,1.0,0.0
51,177.37,3046.1,11,84,308.59,5,4,4,158,True,True,0.0,1.0,0.0,0.0,1.0,0.0
68,169.59,9803.57,17,34,481.18,6,1,2,171,True,False,0.0,0.0,1.0,0.0,0.0,1.0
39,26.85,5160.91,12,88,481.34,7,0,1,122,False,False,1.0,0.0,0.0,0.0,0.0,1.0
27,139.87,1323.58,7,89,162.61,1,3,3,228,True,True,1.0,0.0,0.0,0.0,0.0,1.0
32,70.04,2398.88,16,53,468.91,0,0,5,219,True,False,0.0,0.0,1.0,0.0,1.0,0.0
28,148.41,4144.24,1,2,26.95,8,3,5,189,False,True,1.0,0.0,0.0,0.0,0.0,1.0
53,54.95,3382.86,10,45,447.04,3,3,5,52,True,False,0.0,1.0,0.0,0.0,0.0,1.0
27,123.5,2554.48,5,18,383.76,7,0,1,242,True,False,0.0,1.0,0.0,0.0,1.0,0.0
58,183.48,3735.79,8,29,382.26,6,1,2,231,False,True,1.0,0.0,0.0,1.0,0.0,0.0
34,66.41,5125.59,6,85,283.81,7,4,3,88,True,True,0.0,0.0,1.0,0.0,0.0,1.0
33,40.2,7270.88,1,96,30.52,4,3,2,119,True,False,0.0,1.0,0.0,0.0,0.0,1.0
21,65.09,8530.42,14,93,481.76,5,4,5,17,False,True,0.0,0.0,1.0,0.0,1.0,0.0
45,192.89,3111.59,7,81,391.94,9,4,5,93,True,True,0.0,1.0,0.0,0.0,0.0,1.0
41,36.94,4735.39,17,48,231.67,7,2,5,63,False,True,0.0,0.0,1.0,0.0,1.0,0.0
65,128.23,8631.89,7,13,395.73,1,3,4,252,True,True,0.0,1.0,0.0,0.0,0.0,1.0
35,64.72,9590.15,9,45,451.45,1,4,5,44,True,True,0.0,0.0,1.0,0.0,1.0,0.0
27,79.39,7894.91,9,52,60.44,1,0,2,275,True,True,1.0,0.0,0.0,1.0,0.0,0.0
56,173.11,8406.39,4,79,440.15,7,2,3,126,True,False,0.0,1.0,0.0,1.0,0.0,0.0
30,59.47,6525.79,12,64,122.99,1,0,3,279,True,True,0.0,1.0,0.0,1.0,0.0,0.0
51,130.91,3161.0,13,87,486.97,9,2,3,14,False,False,0.0,1.0,0.0,0.0,0.0,1.0
41,164.89,7409.42,6,37,59.4,1,1,4,338,False,False,0.0,1.0,0.0,1.0,0.0,0.0
25,47.8,9275.34,7,7,64.55,3,4,4,185,True,True,0.0,0.0,1.0,1.0,0.0,0.0
25,99.15,4260.57,10,33,434.17,4,1,1,12,False,False,0.0,1.0,0.0,0.0,0.0,1.0
24,47.87,1625.76,18,94,402.65,3,4,1,174,False,False,0.0,0.0,1.0,0.0,1.0,0.0
37,88.9,7270.9,4,87,63.61,3,4,3,224,False,False,0.0,0.0,1.0,1.0,0.0,0.0
34,43.7,4900.56,11,7,259.33,0,2,3,227,True,True,0.0,1.0,0.0,1.0,0.0,0.0
62,120.02,4335.81,3,20,122.1,4,3,1,342,False,False,1.0,0.0,0.0,0.0,0.0,1.0
24,71.54,5366.48,5,10,352.17,1,1,5,288,True,True,1.0,0.0,0.0,1.0,0.0,0.0
54,122.0,2987.33,17,31,459.93,9,2,4,94,False,True,1.0,0.0,0.0,1.0,0.0,0.0
53,75.42,6060.55,12,60,285.47,2,0,3,227,False,False,0.0,0.0,1.0,1.0,0.0,0.0
44,171.35,7856.73,14,16,193.0,3,4,3,329,True,True,1.0,0.0,0.0,0.0,0.0,1.0
66,43.6,1734.57,8,33,371.28,1,1,4,97,False,True,0.0,0.0,1.0,0.0,1.0,0.0
67,54.8,242.06,12,50,423.09,8,4,2,18,True,False,0.0,0.0,1.0,1.0,0.0,0.0
69,106.53,3159.59,2,61,321.34,0,1,3,323,False,False,1.0,0.0,0.0,0.0,0.0,1.0
56,132.3,451.83,13,92,102.35,1,2,5,32,False,True,0.0,0.0,1.0,1.0,0.0,0.0
28,100.03,1167.71,18,92,396.06,3,2,1,125,False,False,1.0,0.0,0.0,1.0,0.0,0.0
22,170.72,6365.56,15,51,448.87,0,1,1,185,True,False,0.0,0.0,1.0,0.0,0.0,1.0
27,107.8,1139.41,18,99,364.84,8,2,4,110,False,False,0.0,0.0,1.0,0.0,0.0,1.0
63,175.74,8627.92,8,46,178.15,2,2,4,271,True,True,1.0,0.0,0.0,0.0,0.0,1.0
30,138.86,8808.85,8,76,138.96,9,4,4,180,True,True,0.0,0.0,1.0,1.0,0.0,0.0
63,89.9,9469.51,13,98,61.94,8,2,5,74,True,True,0.0,1.0,0.0,0.0,1.0,0.0
62,34.48,6632.06,4,6,251.39,6,1,1,306,True,True,0.0,1.0,0.0,0.0,1.0,0.0
21,158.95,9570.06,12,9,13.81,3,1,1,130,False,False,1.0,0.0,0.0,1.0,0.0,0.0
60,141.14,4154.32,10,50,490.93,6,4,1,82,False,False,1.0,0.0,0.0,0.0,0.0,1.0
23,24.54,3220.0,5,33,358.03,0,3,2,271,False,False,0.0,1.0,0.0,0.0,1.0,0.0
59,27.63,1996.55,12,4,446.44,9,1,5,278,True,True,0.0,0.0,1.0,0.0,1.0,0.0
45,153.13,5793.6,17,10,190.7,6,0,4,85,True,False,0.0,1.0,0.0,0.0,1.0,0.0
28,108.81,3652.73,2,9,177.27,3,2,5,231,True,True,0.0,0.0,1.0,1.0,0.0,0.0
57,199.73,4065.05,4,11,334.83,2,1,5,130,True,False,1.0,0.0,0.0,0.0,1.0,0.0
56,84.07,1425.49,13,35,475.21,1,1,5,219,False,False,0.0,0.0,1.0,0.0,0.0,1.0
25,140.24,3234.19,7,79,18.98,1,4,3,113,True,False,0.0,0.0,1.0,1.0,0.0,0.0
51,30.62,8679.94,18,93,62.76,0,3,5,144,False,False,1.0,0.0,0.0,0.0,0.0,1.0
50,172.17,5953.08,9,88,213.27,5,2,5,125,False,False,0.0,1.0,0.0,0.0,1.0,0.0
66,115.17,1642.05,17,48,411.78,0,2,2,136,False,False,0.0,0.0,1.0,0.0,0.0,1.0
26,106.42,3303.78,9,92,224.58,6,0,5,93,False,True,1.0,0.0,0.0,1.0,0.0,0.0
52,143.38,3457.27,12,45,126.96,1,1,3,179,False,True,0.0,1.0,0.0,0.0,0.0,1.0
55,182.07,5647.7,8,51,155.02,6,1,5,282,True,True,0.0,0.0,1.0,0.0,1.0,0.0
47,148.47,1633.21,5,64,415.34,3,4,5,70,False,True,0.0,1.0,0.0,0.0,0.0,1.0
21,48.7,2081.69,16,62,244.94,9,1,2,228,True,False,1.0,0.0,0.0,0.0,1.0,0.0
61,76.65,349.58,4,60,256.26,9,1,3,189,False,False,1.0,0.0,0.0,1.0,0.0,0.0
62,45.15,5892.58,5,22,453.8,2,0,3,129,True,True,0.0,0.0,1.0,0.0,1.0,0.0
30,74.95,7946.3,19,52,359.32,5,1,3,7,True,False,0.0,1.0,0.0,0.0,1.0,0.0
24,24.98,2944.2,16,27,450.99,0,0,5,357,True,True,0.0,0.0,1.0,0.0,0.0,1.0
49,175.13,2058.93,2,14,482.58,7,4,5,347,True,False,0.0,1.0,0.0,0.0,1.0,0.0
68,64.69,6252.13,15,18,316.64,3,4,3,167,False,False,0.0,1.0,0.0,0.0,0.0,1.0
51,129.13,5560.54,9,33,185.85,7,1,3,360,False,False,1.0,0.0,0.0,0.0,1.0,0.0
66,139.87,2064.23,9,72,211.18,8,1,4,158,True,False,0.0,1.0,0.0,0.0,1.0,0.0
69,196.93,4400.38,1,58,192.9,7,0,3,299,True,False,0.0,1.0,0.0,0.0,0.0,1.0
31,188.78,880.14,18,96,366.55,5,4,5,6,False,False,1.0,0.0,0.0,0.0,1.0,0.0
39,141.26,7748.78,11,59,190.16,9,0,1,21,False,False,0.0,1.0,0.0,1.0,0.0,0.0
29,141.07,6767.24,4,66,287.67,3,2,3,164,True,True,0.0,0.0,1.0,0.0,1.0,0.0
34,94.87,1449.29,1,64,361.78,2,0,4,293,False,False,0.0,1.0,0.0,1.0,0.0,0.0
48,183.64,3087.51,9,2,50.28,5,4,1,349,True,True,0.0,1.0,0.0,0.0,1.0,0.0
48,133.74,279.91,6,43,203.65,2,4,4,234,False,False,0.0,1.0,0.0,1.0,0.0,0.0
65,35.08,9450.29,2,90,398.57,1,3,4,276,True,False,0.0,1.0,0.0,0.0,1.0,0.0
41,59.16,9289.26,2,46,445.68,2,3,3,21,True,True,1.0,0.0,0.0,1.0,0.0,0.0
21,55.36,3841.97,4,35,163.11,2,0,5,175,True,False,1.0,0.0,0.0,0.0,0.0,1.0
25,135.3,7032.02,3,26,418.51,1,1,3,2,False,False,0.0,0.0,1.0,0.0,1.0,0.0
62,23.46,2829.09,3,93,276.98,8,1,4,39,True,True,1.0,0.0,0.0,0.0,1.0,0.0
49,33.55,3310.3,13,44,100.75,8,4,1,259,False,False,1.0,0.0,0.0,0.0,1.0,0.0
26,153.24,1722.71,2,5,457.4,4,1,2,81,False,True,1.0,0.0,0.0,0.0,0.0,1.0
41,43.82,2009.52,16,66,499.57,5,2,2,337,True,False,1.0,0.0,0.0,0.0,0.0,1.0
43,125.87,3296.78,13,31,411.17,9,3,5,330,False,False,0.0,0.0,1.0,0.0,0.0,1.0
60,72.95,5503.95,7,49,120.08,9,3,3,345,True,True,0.0,0.0,1.0,0.0,0.0,1.0
48,88.95,5631.44,16,62,277.49,6,3,1,42,True,True,0.0,1.0,0.0,0.0,1.0,0.0
32,91.39,9509.81,4,50,21.01,7,0,2,254,False,False,1.0,0.0,0.0,0.0,0.0,1.0
67,190.18,5945.17,11,37,452.34,5,3,4,337,False,True,1.0,0.0,0.0,0.0,0.0,1.0
68,101.75,2818.76,3,33,299.1,9,0,4,307,True,True,1.0,0.0,0.0,0.0,0.0,1.0
48,38.33,9626.57,13,71,100.11,7,2,5,296,False,False,0.0,1.0,0.0,0.0,1.0,0.0
42,108.84,3427.62,3,49,350.69,1,4,1,151,False,False,1.0,0.0,0.0,1.0,0.0,0.0
31,170.42,6044.66,15,4,111.19,0,1,1,126,False,True,1.0,0.0,0.0,1.0,0.0,0.0
38,167.94,9811.7,13,12,83.09,9,4,5,128,False,True,0.0,1.0,0.0,1.0,0.0,0.0
63,40.69,3666.46,10,21,393.49,0,2,2,46,False,True,1.0,0.0,0.0,0.0,0.0,1.0
34,169.49,5629.38,12,36,453.65,1,0,5,283,True,False,0.0,1.0,0.0,0.0,0.0,1.0
31,186.68,7950.98,11,31,405.64,8,1,4,182,False,True,0.0,1.0,0.0,1.0,0.0,0.0
63,51.7,9691.03,12,70,371.25,8,4,4,44,True,True,1.0,0.0,0.0,0.0,0.0,1.0
48,129.36,4323.06,1,33,423.5,0,2,3,188,True,True,0.0,0.0,1.0,1.0,0.0,0.0
23,177.54,4804.62,18,43,454.01,5,0,5,292,False,False,1.0,0.0,0.0,0.0,1.0,0.0
38,155.1,707.32,6,2,494.0,8,2,5,140,False,False,1.0,0.0,0.0,0.0,1.0,0.0
66,74.93,7511.69,1,99,350.32,1,2,5,69,True,False,0.0,1.0,0.0,0.0,1.0,0.0
27,172.13,3512.55,3,77,316.18,0,3,1,61,True,False,0.0,1.0,0.0,0.0,0.0,1.0
66,197.04,6938.54,16,1,420.66,3,3,1,247,False,True,0.0,0.0,1.0,1.0,0.0,0.0
21,35.16,6070.08,19,77,235.6,6,2,1,143,True,False,0.0,1.0,0.0,1.0,0.0,0.0
59,143.96,2348.58,14,49,443.26,0,1,5,42,False,False,1.0,0.0,0.0,0.0,0.0,1.0
50,103.88,9513.84,13,35,25.18,8,0,3,92,False,False,0.0,1.0,0.0,1.0,0.0,0.0
51,170.15,860.29,16,52,171.0,9,0,1,6,False,False,0.0,0.0,1.0,1.0,0.0,0.0
29,158.7,4670.23,18,46,150.08,6,1,5,7,False,False,1.0,0.0,0.0,0.0,1.0,0.0
59,39.2,447.56,10,25,77.0,5,2,3,236,False,True,0.0,1.0,0.0,0.0,0.0,1.0
44,144.66,4302.65,16,99,165.67,0,4,4,216,False,False,0.0,1.0,0.0,0.0,1.0,0.0
23,136.94,3202.86,7,96,403.53,1,1,4,44,True,False,0.0,0.0,1.0,0.0,0.0,1.0
19,163.65,1627.35,2,11,186.06,3,2,2,358,False,True,0.0,1.0,0.0,1.0,0.0,0.0
23,123.61,2818.49,17,48,177.47,9,0,5,167,False,False,1.0,0.0,0.0,0.0,1.0,0.0
37,86.35,1463.48,15,60,440.35,7,2,5,332,False,True,0.0,0.0,1.0,0.0,0.0,1.0
20,54.78,2230.31,5,15,492.49,5,4,3,245,False,True,0.0,0.0,1.0,0.0,1.0,0.0
61,101.78,4902.46,6,76,252.84,3,0,2,356,True,True,0.0,0.0,1.0,1.0,0.0,0.0
36,90.85,1438.91,10,88,27.65,1,4,3,312,True,True,0.0,0.0,1.0,0.0,0.0,1.0
22,135.7,4659.91,12,76,418.99,2,2,4,174,True,False,0.0,1.0,0.0,0.0,1.0,0.0
47,31.72,5065.76,17,31,92.5,9,0,1,202,True,True,1.0,0.0,0.0,0.0,1.0,0.0
39,73.63,4212.14,11,76,434.73,8,1,1,190,True,False,0.0,0.0,1.0,0.0,0.0,1.0
18,193.83,5000.22,6,85,283.26,9,1,5,255,False,False,1.0,0.0,0.0,1.0,0.0,0.0
20,94.36,3496.36,7,60,312.78,6,1,1,21,False,True,0.0,1.0,0.0,0.0,1.0,0.0
46,146.57,6291.63,5,87,477.3,7,2,4,4,True,True,0.0,0.0,1.0,0.0,1.0,0.0
53,45.93,5796.43,4,85,306.82,9,3,1,16,False,True,1.0,0.0,0.0,0.0,0.0,1.0
25,51.09,1859.39,1,57,319.16,0,1,4,84,False,True,0.0,0.0,1.0,1.0,0.0,0.0
68,150.05,2835.06,13,72,120.57,9,1,4,244,True,False,0.0,0.0,1.0,0.0,1.0,0.0
47,113.31,705.85,17,69,187.37,7,3,1,172,True,False,1.0,0.0,0.0,0.0,0.0,1.0
43,148.14,6246.33,9,24,352.98,7,1,4,119,True,True,0.0,0.0,1.0,0.0,0.0,1.0
40,83.55,4400.02,18,95,466.12,1,0,2,338,True,False,0.0,1.0,0.0,0.0,0.0,1.0
39,194.07,3343.48,17,74,498.1,2,4,5,144,False,True,0.0,0.0,1.0,0.0,0.0,1.0
23,22.4,3987.65,16,47,261.73,7,4,3,256,True,False,1.0,0.0,0.0,0.0,0.0,1.0
28,118.9,9625.49,18,96,82.88,7,1,1,90,False,False,0.0,1.0,0.0,0.0,0.0,1.0
26,189.51,5462.17,18,96,113.27,9,2,1,21,True,True,0.0,0.0,1.0,0.0,0.0,1.0
54,191.4,1358.15,7,65,39.16,0,2,1,315,False,True,0.0,1.0,0.0,0.0,1.0,0.0
39,151.79,6210.66,14,85,163.83,6,2,3,253,False,False,0.0,1.0,0.0,1.0,0.0,0.0
28,114.99,1072.67,9,38,253.05,4,4,3,168,False,True,0.0,0.0,1.0,1.0,0.0,0.0
61,165.98,1130.51,7,86,428.63,2,3,5,254,False,False,1.0,0.0,0.0,0.0,0.0,1.0
54,194.28,150.01,9,13,253.17,8,0,3,264,True,False,0.0,1.0,0.0,0.0,1.0,0.0
57,115.68,2178.21,14,55,201.49,0,2,1,158,True,False,1.0,0.0,0.0,0.0,0.0,1.0
47,45.92,4172.24,4,97,15.97,3,4,2,164,False,True,0.0,0.0,1.0,0.0,1.0,0.0
64,164.88,3596.82,5,71,454.69,1,0,4,218,False,True,0.0,1.0,0.0,0.0,1.0,0.0
68,118.21,9978.79,1,46,248.89,4,1,4,146,False,False,1.0,0.0,0.0,1.0,0.0,0.0
32,149.82,5506.71,7,97,485.26,3,0,2,95,True,True,0.0,0.0,1.0,0.0,0.0,1.0
55,193.42,1434.47,5,15,168.65,2,2,3,177,True,True,0.0,1.0,0.0,1.0,0.0,0.0
21,61.54,8270.29,7,63,37.1,0,2,1,80,False,False,0.0,0.0,1.0,0.0,0.0,1.0
23,22.83,9800.65,3,60,109.06,6,3,3,129,True,True,0.0,0.0,1.0,0.0,0.0,1.0
68,24.42,882.06,3,35,448.28,0,2,3,88,True,True,0.0,1.0,0.0,0.0,1.0,0.0
57,141.95,1335.48,15,14,173.58,7,3,4,4,False,False,0.0,1.0,0.0,0.0,1.0,0.0
65,105.7,6333.22,5,18,188.94,3,3,5,277,True,False,0.0,1.0,0.0,0.0,0.0,1.0
22,105.82,2299.19,11,28,179.14,4,4,1,323,False,True,1.0,0.0,0.0,0.0,0.0,1.0
69,187.42,3947.03,7,27,287.39,9,0,1,288,True,True,1.0,0.0,0.0,1.0,0.0,0.0
25,163.55,4943.33,4,32,67.77,7,2,2,259,True,False,0.0,1.0,0.0,0.0,1.0,0.0
41,115.1,206.7,19,26,395.98,2,4,1,82,False,False,0.0,0.0,1.0,1.0,0.0,0.0
30,138.79,2702.62,15,5,444.39,7,3,2,8,True,True,1.0,0.0,0.0,0.0,0.0,1.0
23,87.33,2667.8,1,46,62.48,3,1,3,209,True,False,0.0,0.0,1.0,0.0,0.0,1.0
32,187.0,5931.23,4,24,183.48,6,2,4,116,True,False,1.0,0.0,0.0,0.0,0.0,1.0
45,185.55,4760.25,8,20,168.91,6,4,2,319,True,False,0.0,0.0,1.0,0.0,1.0,0.0
54,150.03,9765.11,14,9,188.27,0,4,5,274,True,True,1.0,0.0,0.0,1.0,0.0,0.0
47,163.81,5456.35,2,85,370.44,1,2,2,182,True,True,0.0,1.0,0.0,0.0,1.0,0.0
48,53.36,6924.08,3,82,211.7,3,3,1,355,True,True,1.0,0.0,0.0,0.0,0.0,1.0
48,62.84,8376.57,6,39,203.06,9,3,1,120,False,False,0.0,1.0,0.0,0.0,0.0,1.0
62,118.44,5056.7,2,56,456.05,8,3,2,311,True,False,0.0,1.0,0.0,1.0,0.0,0.0
24,199.29,8234.55,1,60,160.58,2,1,5,276,False,False,0.0,0.0,1.0,1.0,0.0,0.0
62,140.87,9790.09,6,99,198.9,0,1,2,205,False,True,0.0,1.0,0.0,0.0,1.0,0.0
31,140.9,9970.76,2,81,395.51,3,3,1,15,False,False,1.0,0.0,0.0,1.0,0.0,0.0
23,95.83,8949.29,8,39,173.6,5,4,3,25,True,True,1.0,0.0,0.0,0.0,1.0,0.0
65,154.43,4068.32,7,26,411.11,5,4,3,257,False,False,0.0,1.0,0.0,1.0,0.0,0.0
42,125.96,7592.64,5,14,124.1,7,0,1,282,True,True,0.0,0.0,1.0,1.0,0.0,0.0
37,190.38,8188.86,8,30,378.18,3,3,3,247,False,False,0.0,1.0,0.0,1.0,0.0,0.0
65,56.18,3002.55,10,35,484.7,9,4,5,249,True,True,0.0,0.0,1.0,1.0,0.0,0.0
20,30.87,4979.93,18,42,461.86,2,1,4,271,True,True,0.0,0.0,1.0,1.0,0.0,0.0
25,112.23,275.7,15,61,425.9,2,1,3,11,True,True,0.0,0.0,1.0,1.0,0.0,0.0
59,191.91,7928.65,4,15,371.87,5,0,5,235,False,True,1.0,0.0,0.0,1.0,0.0,0.0
19,43.36,7710.85,10,52,305.05,4,4,4,241,False,False,0.0,0.0,1.0,1.0,0.0,0.0
37,102.57,361.25,12,68,303.71,5,4,3,40,False,False,1.0,0.0,0.0,0.0,1.0,0.0
